Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,StudentID
male,group E,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,64,69,65,988
male,group B,some high school,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,45,37,35,989
female,group A,some high school,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,36,47,52,990
female,group E,high school,standard,completed,divorced,regularly,yes,1.0,private,5 - 10,91,93,99,991
female,group C,associate's degree,free/reduced,completed,married,never,yes,0.0,school_bus,< 5,57,73,79,992
male,group E,high school,standard,none,married,regularly,no,3.0,school_bus,> 10,84,83,82,993
male,group D,high school,free/reduced,completed,single,never,yes,4.0,school_bus,> 10,78,86,88,994
female,group E,high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,< 5,64,75,74,995
female,group C,some college,standard,completed,divorced,sometimes,yes,1.0,school_bus,> 10,70,80,81,996
female,group E,some college,standard,none,single,regularly,yes,1.0,private,< 5,65,69,70,997
female,group B,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,> 10,64,79,76,998
female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,private,< 5,49,64,58,999
female,group E,some high school,standard,completed,married,never,yes,0.0,school_bus,< 5,76,78,77,1000
male,group D,some college,free/reduced,completed,divorced,never,no,5.0,school_bus,> 10,67,57,62,1001
female,group D,bachelor's degree,standard,completed,married,never,yes,7.0,private,5 - 10,81,88,90,1002
female,group D,master's degree,standard,none,single,never,yes,6.0,school_bus,< 5,79,89,89,1003
female,group B,high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,59,75,67,1004
male,group C,associate's degree,standard,completed,married,never,no,4.0,private,> 10,73,71,70,1005
female,group A,associate's degree,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,72,71,79,1006
male,group D,some college,free/reduced,completed,married,sometimes,yes,4.0,private,5 - 10,65,66,65,1007
male,group C,high school,standard,none,married,regularly,yes,1.0,private,> 10,79,75,79,1008
female,group D,some college,standard,completed,single,sometimes,no,2.0,school_bus,> 10,85,97,100,1009
female,group E,some college,free/reduced,none,divorced,sometimes,yes,0.0,private,> 10,73,75,69,1010
female,group C,bachelor's degree,standard,completed,married,never,yes,2.0,private,> 10,64,79,85,1011
female,group B,some college,standard,none,married,regularly,yes,2.0,school_bus,< 5,62,75,72,1012
male,group D,high school,standard,none,single,regularly,no,5.0,private,< 5,67,53,53,1013
female,group A,some college,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,45,51,61,1014
female,group D,associate's degree,standard,completed,single,regularly,yes,2.0,school_bus,5 - 10,79,90,93,1015
female,group C,master's degree,standard,none,married,sometimes,yes,1.0,private,> 10,68,76,79,1016
female,group D,master's degree,standard,completed,single,regularly,yes,1.0,private,5 - 10,81,84,100,1017
female,group C,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,51,56,56,1018
female,group E,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,75,77,73,1019
male,group D,associate's degree,standard,none,divorced,sometimes,no,1.0,private,5 - 10,97,85,86,1020
male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,45,44,43,1021
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,61,60,1022
female,group D,master's degree,standard,none,married,regularly,yes,2.0,school_bus,> 10,62,68,72,1023
female,group C,associate's degree,standard,none,widowed,never,no,1.0,private,< 5,76,77,79,1024
male,group A,bachelor's degree,free/reduced,none,married,never,no,3.0,private,5 - 10,72,81,79,1025
female,group E,some college,free/reduced,none,married,sometimes,yes,2.0,private,> 10,66,71,70,1026
male,group B,some high school,standard,completed,single,regularly,no,2.0,private,< 5,63,63,62,1027
male,group C,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,61,56,51,1028
female,group B,some college,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,66,78,74,1029
female,group C,bachelor's degree,standard,completed,married,regularly,yes,0.0,private,> 10,84,93,97,1030
female,group C,some high school,free/reduced,none,divorced,regularly,no,2.0,school_bus,5 - 10,56,76,66,1031
female,group B,some high school,standard,none,single,sometimes,no,3.0,private,5 - 10,50,54,47,1032
male,group B,high school,standard,none,married,sometimes,yes,6.0,private,< 5,78,72,67,1033
female,group C,master's degree,standard,completed,married,never,yes,5.0,school_bus,< 5,77,85,95,1034
female,group D,associate's degree,standard,none,single,never,yes,0.0,school_bus,< 5,75,77,83,1035
male,group E,high school,standard,completed,married,never,no,1.0,school_bus,5 - 10,88,77,75,1036
male,group C,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,44,53,54,1037
female,group C,high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,76,78,85,1038
female,group C,some high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,30,45,42,1039
male,group C,high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,45,36,28,1040
female,group C,some college,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,60,67,66,1041
female,group E,high school,free/reduced,none,single,regularly,yes,1.0,private,< 5,61,63,66,1042
male,group B,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,> 10,62,47,48,1043
female,group D,some high school,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,39,44,47,1044
female,group E,associate's degree,standard,none,single,sometimes,yes,1.0,private,5 - 10,78,86,87,1045
male,group E,associate's degree,free/reduced,completed,divorced,sometimes,yes,4.0,school_bus,> 10,54,49,54,1046
female,group B,some college,standard,none,married,sometimes,yes,1.0,private,> 10,47,56,59,1047
female,group D,high school,free/reduced,completed,single,never,yes,1.0,school_bus,5 - 10,54,63,69,1048
male,group E,associate's degree,free/reduced,none,single,sometimes,no,1.0,school_bus,5 - 10,82,74,69,1049
female,group E,some high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,62,75,70,1050
female,group D,some college,free/reduced,none,divorced,sometimes,yes,0.0,private,< 5,49,66,62,1051
male,group C,some high school,standard,completed,single,regularly,yes,1.0,school_bus,> 10,94,94,93,1052
male,group A,associate's degree,standard,completed,married,sometimes,no,3.0,school_bus,< 5,62,64,62,1053
female,group C,high school,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,72,81,78,1054
male,group D,associate's degree,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,64,70,66,1055
male,group B,bachelor's degree,free/reduced,none,single,regularly,yes,3.0,school_bus,5 - 10,49,47,56,1056
male,group E,some college,standard,none,single,regularly,no,2.0,school_bus,< 5,78,66,69,1057
male,group B,bachelor's degree,standard,completed,married,sometimes,yes,2.0,private,< 5,88,85,86,1058
male,group A,bachelor's degree,standard,none,single,never,no,1.0,private,> 10,60,65,61,1059
female,group C,some college,standard,none,married,sometimes,no,3.0,school_bus,< 5,52,55,57,1060
male,group D,some high school,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,90,90,87,1061
male,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3.0,private,> 10,32,35,30,1062
male,group B,associate's degree,standard,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,66,68,68,1063
male,group B,high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,65,68,67,1064
female,group B,high school,free/reduced,none,married,regularly,no,2.0,school_bus,< 5,61,64,72,1065
female,group E,some high school,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,63,70,77,1066
female,group B,some college,free/reduced,none,single,regularly,yes,5.0,private,5 - 10,46,53,53,1067
male,group E,some high school,free/reduced,none,married,sometimes,yes,1.0,private,< 5,60,49,45,1068
female,group B,associate's degree,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,51,58,60,1069
male,group D,associate's degree,standard,none,single,never,yes,0.0,school_bus,< 5,47,51,50,1070
female,group A,associate's degree,standard,completed,single,never,no,3.0,private,< 5,65,76,74,1071
male,group C,bachelor's degree,standard,completed,divorced,sometimes,yes,1.0,private,< 5,78,70,74,1072
male,group C,associate's degree,free/reduced,none,married,regularly,yes,2.0,private,< 5,60,60,61,1073
male,group D,some high school,standard,none,married,regularly,no,1.0,private,5 - 10,65,64,63,1074
male,group C,bachelor's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,87,74,76,1075
female,group D,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,> 10,88,93,92,1076
female,group D,some college,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,66,71,77,1077
male,group D,bachelor's degree,free/reduced,none,married,sometimes,no,3.0,school_bus,< 5,70,65,66,1078
female,group B,some high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,33,44,46,1079
female,group A,bachelor's degree,standard,none,single,regularly,yes,1.0,private,< 5,66,68,78,1080
male,group E,some high school,standard,completed,single,regularly,yes,3.0,school_bus,< 5,56,45,47,1081
female,group A,some college,free/reduced,none,divorced,never,no,1.0,private,< 5,29,46,42,1082
female,group D,some college,standard,completed,married,regularly,yes,1.0,private,< 5,93,99,100,1083
female,group C,some college,free/reduced,none,divorced,regularly,no,3.0,school_bus,< 5,70,82,83,1084
female,group D,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,72,80,82,1085
male,group B,master's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,78,80,70,1086
male,group A,some high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,63,59,47,1087
male,group C,some high school,standard,none,widowed,regularly,yes,2.0,school_bus,5 - 10,78,81,75,1088
female,group B,associate's degree,standard,none,single,sometimes,yes,1.0,private,< 5,87,86,89,1089
female,group E,some college,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,53,61,62,1090
male,group B,some high school,standard,completed,single,sometimes,yes,3.0,school_bus,< 5,61,55,61,1091
male,group C,master's degree,standard,none,married,never,yes,3.0,school_bus,5 - 10,87,82,78,1092
female,group C,high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,53,67,68,1093
male,group C,some college,standard,none,married,regularly,yes,2.0,school_bus,< 5,66,64,53,1094
male,group E,some college,standard,none,divorced,never,yes,0.0,private,> 10,69,64,55,1095
male,group C,some college,standard,none,divorced,never,yes,3.0,private,> 10,56,55,50,1096
female,group C,some college,standard,completed,married,regularly,yes,0.0,private,5 - 10,100,98,100,1097
female,group C,high school,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,73,74,69,1098
male,group C,some high school,standard,completed,married,regularly,no,2.0,school_bus,> 10,84,82,80,1099
male,group E,associate's degree,standard,none,married,regularly,yes,3.0,private,> 10,77,61,57,1100
male,group B,some high school,standard,none,married,sometimes,no,2.0,school_bus,< 5,75,63,58,1101
male,group C,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,45,47,44,1102
female,group D,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,61,73,75,1103
male,group C,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,72,77,1104
female,group D,master's degree,standard,completed,married,sometimes,no,4.0,private,5 - 10,87,100,100,1105
female,group D,high school,free/reduced,none,divorced,regularly,yes,0.0,private,< 5,43,48,49,1106
female,group D,master's degree,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,88,97,100,1107
female,group C,some high school,standard,none,married,regularly,no,3.0,school_bus,< 5,49,56,52,1108
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,67,78,84,1109
female,group C,high school,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,61,73,69,1110
male,group D,high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,66,64,68,1111
male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,88,88,79,1112
female,group D,associate's degree,free/reduced,none,single,sometimes,yes,4.0,private,5 - 10,29,42,40,1113
female,group D,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,77,80,75,1114
female,group B,bachelor's degree,free/reduced,none,divorced,regularly,yes,0.0,private,5 - 10,55,76,67,1115
female,group D,associate's degree,standard,none,divorced,sometimes,yes,3.0,private,5 - 10,78,80,77,1116
female,group C,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,39,50,53,1117
male,group D,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,98,84,85,1118
female,group E,some high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,55,59,56,1119
female,group C,some high school,free/reduced,none,married,regularly,yes,0.0,private,5 - 10,53,73,67,1120
female,group C,associate's degree,standard,completed,divorced,sometimes,no,1.0,private,< 5,73,73,74,1121
female,group C,high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,66,74,73,1122
female,group E,associate's degree,free/reduced,completed,married,never,yes,3.0,school_bus,> 10,65,74,74,1123
male,group B,some high school,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,79,75,77,1124
female,group B,some college,standard,none,divorced,sometimes,yes,7.0,private,5 - 10,81,88,91,1125
male,group D,some college,standard,none,married,regularly,no,1.0,private,5 - 10,87,90,87,1126
female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,5 - 10,49,62,67,1127
male,group C,some college,standard,none,married,sometimes,yes,4.0,private,5 - 10,75,65,63,1128
female,group E,some high school,standard,none,married,sometimes,no,2.0,private,5 - 10,93,92,89,1129
male,group B,some high school,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,43,45,43,1130
female,group A,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,> 10,83,81,85,1131
male,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,58,58,58,1132
female,group D,associate's degree,free/reduced,none,single,regularly,no,3.0,private,5 - 10,38,55,50,1133
female,group C,high school,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,70,79,80,1134
male,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,> 10,67,61,58,1135
female,group D,master's degree,standard,completed,married,never,yes,7.0,private,< 5,61,69,78,1136
female,group D,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,68,63,1137
male,group C,high school,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,86,75,71,1138
male,group B,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,52,51,44,1139
male,group E,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,67,63,64,1140
male,group C,some high school,standard,none,married,regularly,yes,3.0,private,< 5,66,73,63,1141
female,group B,high school,free/reduced,none,single,never,yes,1.0,private,> 10,39,55,48,1142
male,group C,high school,standard,none,married,regularly,yes,1.0,private,5 - 10,75,66,69,1143
male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,2.0,private,< 5,71,76,76,1144
female,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,81,91,92,1145
female,group B,some high school,free/reduced,none,married,never,no,3.0,school_bus,5 - 10,39,55,52,1146
female,group D,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,62,67,76,1147
male,group A,some college,standard,none,divorced,sometimes,yes,2.0,school_bus,< 5,62,61,56,1148
male,group D,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,91,81,77,1149
female,group A,some high school,free/reduced,none,married,never,yes,4.0,private,5 - 10,51,66,60,1150
male,group B,some high school,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,75,76,76,1151
female,group E,some high school,standard,none,married,never,yes,3.0,school_bus,> 10,71,64,66,1152
male,group B,high school,free/reduced,none,widowed,sometimes,no,2.0,school_bus,< 5,44,39,40,1153
male,group D,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,81,64,73,1154
female,group B,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,94,98,99,1155
male,group D,associate's degree,standard,none,divorced,sometimes,yes,5.0,private,5 - 10,69,65,60,1156
male,group D,some college,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,95,88,96,1157
male,group C,some high school,standard,none,married,sometimes,yes,7.0,school_bus,5 - 10,51,55,55,1158
male,group C,master's degree,standard,completed,married,regularly,yes,1.0,private,5 - 10,86,85,96,1159
female,group D,bachelor's degree,standard,none,single,regularly,yes,1.0,private,> 10,78,74,84,1160
male,group C,high school,standard,none,single,sometimes,no,5.0,private,< 5,69,65,57,1161
male,group D,associate's degree,free/reduced,none,divorced,regularly,yes,3.0,school_bus,< 5,52,54,58,1162
male,group E,high school,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,53,47,45,1163
male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,4.0,private,5 - 10,61,61,60,1164
female,group E,some college,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,63,66,61,1165
female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,private,> 10,46,63,63,1166
female,group C,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,62,66,61,1167
female,group E,some high school,standard,completed,married,regularly,no,3.0,private,5 - 10,87,88,89,1168
male,group D,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,< 5,75,69,64,1169
female,group E,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,74,77,68,1170
female,group E,associate's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,92,94,98,1171
female,group D,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,< 5,42,59,66,1172
female,group C,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,65,84,78,1173
male,group D,some high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,85,88,84,1174
male,group E,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,70,68,59,1175
male,group D,some college,standard,completed,divorced,sometimes,yes,1.0,private,< 5,72,65,62,1176
male,group B,some college,standard,completed,married,never,no,1.0,private,< 5,63,57,53,1177
female,group B,associate's degree,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,53,69,71,1178
male,group C,master's degree,standard,none,married,never,yes,3.0,school_bus,< 5,63,62,60,1179
female,group D,some college,standard,none,married,sometimes,yes,1.0,private,5 - 10,73,85,92,1180
female,group D,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,72,78,82,1181
male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,79,70,69,1182
male,group C,high school,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,86,80,85,1183
female,group B,some college,standard,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,52,62,58,1184
female,group C,some college,standard,none,single,regularly,yes,3.0,private,< 5,54,68,64,1185
male,group C,master's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,58,56,56,1186
female,group C,some high school,standard,none,single,never,no,2.0,private,5 - 10,69,71,75,1187
male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,83,78,70,1188
female,group E,bachelor's degree,standard,none,married,never,no,4.0,private,< 5,65,75,72,1189
male,group D,some high school,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,66,65,63,1190
male,group A,some college,free/reduced,completed,single,never,no,1.0,private,5 - 10,76,65,68,1191
male,group C,associate's degree,free/reduced,none,married,regularly,yes,5.0,private,5 - 10,50,46,45,1192
male,group C,associate's degree,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,78,84,79,1193
female,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,2.0,private,< 5,62,78,74,1194
male,group C,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,81,75,76,1195
male,group B,master's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,76,74,74,1196
male,group C,some high school,standard,none,divorced,regularly,yes,4.0,private,5 - 10,56,55,50,1197
female,group B,some high school,free/reduced,completed,married,regularly,yes,4.0,school_bus,< 5,72,88,89,1198
male,group A,some college,free/reduced,completed,divorced,sometimes,yes,2.0,private,5 - 10,45,42,41,1199
male,group A,associate's degree,standard,none,single,sometimes,yes,1.0,private,5 - 10,73,75,70,1200
male,group C,some high school,standard,none,married,never,yes,3.0,private,< 5,79,73,69,1201
male,group D,some college,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10,61,62,59,1202
male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,60,52,52,1203
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,68,72,76,1204
female,group B,high school,standard,completed,married,regularly,yes,1.0,private,> 10,68,67,70,1205
male,group E,high school,free/reduced,none,married,regularly,yes,4.0,private,5 - 10,83,70,63,1206
male,group B,associate's degree,standard,none,married,sometimes,yes,2.0,private,< 5,61,50,50,1207
male,group B,associate's degree,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,67,69,68,1208
female,group D,some college,free/reduced,none,married,regularly,yes,4.0,private,5 - 10,44,58,57,1209
male,group D,bachelor's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,66,73,75,1210
male,group C,associate's degree,standard,none,divorced,regularly,no,2.0,school_bus,5 - 10,60,58,58,1211
male,group B,associate's degree,free/reduced,completed,single,regularly,no,2.0,school_bus,5 - 10,69,62,65,1212
female,group D,bachelor's degree,standard,none,married,regularly,yes,4.0,private,5 - 10,45,57,63,1213
female,group B,master's degree,free/reduced,completed,divorced,never,yes,0.0,private,> 10,71,80,83,1214
male,group D,some college,standard,completed,divorced,regularly,yes,1.0,school_bus,> 10,86,78,82,1215
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,58,53,57,1216
male,group C,high school,free/reduced,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,69,69,62,1217
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,< 5,81,68,62,1218
female,group B,associate's degree,free/reduced,completed,married,never,yes,2.0,private,5 - 10,35,49,48,1219
male,group C,associate's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,31,43,39,1220
female,group B,some college,standard,none,divorced,sometimes,no,2.0,private,5 - 10,51,68,62,1221
male,group D,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,87,88,93,1222
male,group B,some high school,standard,completed,single,regularly,yes,2.0,private,5 - 10,46,57,46,1223
male,group C,associate's degree,standard,completed,married,regularly,yes,3.0,school_bus,> 10,100,100,100,1224
female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,private,< 5,48,63,62,1225
male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,> 10,43,36,37,1226
male,group B,high school,standard,completed,single,sometimes,yes,0.0,private,5 - 10,93,85,87,1227
male,group D,associate's degree,standard,none,married,sometimes,no,4.0,school_bus,< 5,82,79,72,1228
male,group E,some college,standard,none,single,regularly,yes,0.0,private,> 10,68,64,58,1229
female,group C,high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,73,76,73,1230
male,group A,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,62,52,45,1231
female,group B,bachelor's degree,standard,completed,divorced,sometimes,yes,2.0,private,5 - 10,68,74,78,1232
male,group D,master's degree,free/reduced,completed,single,sometimes,yes,0.0,private,5 - 10,70,79,77,1233
female,group D,high school,standard,completed,single,never,yes,4.0,school_bus,< 5,51,68,62,1234
male,group D,bachelor's degree,standard,none,single,sometimes,yes,3.0,private,< 5,70,68,67,1235
female,group D,some high school,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,37,39,37,1236
male,group B,some college,standard,completed,single,regularly,yes,4.0,school_bus,5 - 10,76,73,73,1237
female,group C,some college,free/reduced,completed,married,sometimes,no,4.0,private,5 - 10,37,45,47,1238
female,group E,some high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,81,82,74,1239
female,group B,bachelor's degree,standard,completed,married,regularly,yes,2.0,private,5 - 10,52,64,73,1240
female,group D,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,< 5,57,65,67,1241
female,group C,some college,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,49,59,63,1242
male,group C,some college,standard,none,divorced,sometimes,no,4.0,private,5 - 10,62,51,51,1243
male,group B,some college,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,71,75,65,1244
male,group E,bachelor's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,97,95,88,1245
female,group B,some high school,standard,completed,single,never,no,4.0,school_bus,5 - 10,51,68,63,1246
female,group E,some high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,< 5,63,84,82,1247
male,group B,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,> 10,61,58,46,1248
female,group C,associate's degree,standard,none,married,never,yes,2.0,school_bus,5 - 10,49,53,55,1249
female,group D,some high school,free/reduced,none,married,never,no,4.0,private,< 5,49,54,58,1250
female,group D,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,63,84,81,1251
female,group C,some high school,free/reduced,none,married,regularly,yes,1.0,school_bus,< 5,54,62,63,1252
male,group B,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,64,60,62,1253
male,group C,some high school,standard,none,widowed,sometimes,yes,3.0,private,> 10,70,66,57,1254
female,group C,some high school,standard,completed,married,regularly,yes,3.0,private,5 - 10,70,82,88,1255
female,group B,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,< 5,54,56,60,1256
female,group E,associate's degree,standard,completed,single,regularly,yes,3.0,private,5 - 10,71,80,78,1257
male,group C,high school,free/reduced,none,single,never,yes,0.0,school_bus,5 - 10,45,50,44,1258
female,group D,bachelor's degree,free/reduced,none,married,regularly,no,2.0,school_bus,5 - 10,77,92,86,1259
female,group E,some high school,standard,none,married,regularly,yes,3.0,school_bus,< 5,81,89,83,1260
male,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,69,71,71,1261
female,group D,some high school,standard,none,married,never,yes,0.0,private,< 5,71,78,84,1262
female,group D,high school,free/reduced,none,married,regularly,yes,3.0,private,> 10,38,38,44,1263
female,group C,some college,standard,none,married,never,yes,2.0,school_bus,> 10,83,93,91,1264
male,group B,associate's degree,free/reduced,none,single,sometimes,yes,3.0,school_bus,< 5,73,76,72,1265
female,group C,some college,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,77,77,72,1266
male,group C,high school,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,92,78,77,1267
male,group C,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,56,52,47,1268
female,group D,associate's degree,standard,none,married,never,yes,3.0,private,5 - 10,85,95,92,1269
female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,48,54,57,1270
female,group B,bachelor's degree,standard,completed,divorced,sometimes,yes,2.0,private,< 5,79,78,90,1271
male,group C,high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,88,86,86,1272
female,group B,some college,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,39,58,49,1273
male,group B,high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,70,61,63,1274
male,group D,some college,free/reduced,none,single,never,no,4.0,private,5 - 10,42,41,36,1275
male,group E,high school,standard,none,single,sometimes,yes,1.0,school_bus,> 10,64,60,48,1276
male,group A,associate's degree,standard,completed,single,sometimes,yes,1.0,school_bus,> 10,67,61,62,1277
male,group D,some college,free/reduced,none,married,regularly,no,3.0,school_bus,5 - 10,67,59,63,1278
male,group D,some high school,free/reduced,none,single,never,yes,1.0,school_bus,5 - 10,59,55,46,1279
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,private,5 - 10,34,33,28,1280
female,group B,some high school,standard,none,single,sometimes,yes,2.0,school_bus,< 5,51,59,54,1281
female,group C,some college,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,41,50,54,1282
male,group C,associate's degree,standard,completed,married,never,no,2.0,school_bus,> 10,75,70,77,1283
